INTERVAL（2016年21周）,VALUE(销量)
//0是有问题的
201621,279
201622,173
201623,12
201624,5
201625,15
201626,19
201627,16
201628,10
201629,7
201630,31
201631,15
201632,18
201633,3
201634,4
201635,69
201636,494
201637,3
201638,74
201639,24
201640,8
201641,0
201642,0
201643,0
201644,0
201645,8
201646,0
201647,11
201648,12
201649,0
201650,0
201651,0
201652,5
201701,0
201702,0
201703,0
201704,0
201705,0
201706,0
201707,0
201708,62
201709,715
201710,123
201711,40
201712,50
201713,268
201714,21
201715,42
201716,72
201717,62
201718,16
201719,27
201720,35
201721,44
201722,63
201723,14
201724,63
201725,49
201726,156
201727,5
201728,21
201729,18
201730,122
201731,25
201732,44
201733,21
201734,24
201735,106
201736,51
201737,27
201738,15
201739,125
201740,0
201741,41
201742,55
201743,22
201744,103
201745,68
201746,21
201747,36
201748,208
201749,4
201750,58
201751,3
201752,183
201801,7
201802,55
201803,46
201804,49
201805,105
201806,20
201807,0
201808,7
201809,65
201810,53
201811,62
201812,114
201813,131
201814,38
201815,41
201816,18
201817,218
201818,115
201819,1
201820,63
201821,42
201822,89
201823,7
201824,134
201825,38
201826,127
201827,37
201828,31
201829,23
201830,58
201831,32
201832,42
201833,62
