INTERVAL,VALUE£¨ÏúÁ¿£©
201553,47
201601,39
201602,48
201603,46
201604,55
201605,23
201606,3
201607,32
201608,35
201609,48
201610,58
201611,68
201612,67
201613,74
201614,56
201615,53
201616,68
201617,84
201618,67
201619,62
201620,92
201621,60
201622,74
201623,73
201624,102
201625,87
201626,80
201627,106
201628,84
201629,76
201630,68
201631,73
201632,77
201633,62
201634,79
201635,70
201636,83
201637,81
201638,73
201639,96
201640,98
201641,106
201642,91
201643,86
201644,111
201645,104
201646,103
201647,121
201648,121
201649,120
201650,122
201651,73
201652,105
201701,89
201702,105
201703,104
201704,13
201705,18
201706,79
201707,117
201708,104
201709,131
201710,127
201711,161
201712,144
201713,134
201714,134
201715,159
201716,130
201717,145
201718,162
201719,151
201720,187
201721,150
201722,166
201723,170
201724,168
201725,151
201726,149
201727,146
201728,145
201729,155
201730,158
201731,127
201732,143
201733,135
201734,143
201735,155
201736,147
201737,173
201738,144
201739,163
201740,151
201741,146
201742,139
201743,175
201744,167
201745,172
201746,177
201747,152
201748,149
201749,134
201750,118
201751,133
201752,96
201801,95
201802,95
201803,113
201804,91
201805,104
201806,51
201807,12
201808,55
201809,93
201810,117
201811,115
201812,148
201813,134
201814,148
201815,147
201816,134
201817,149
201818,139
201819,154
201820,130
201821,128
201822,128
201823,88
201824,140
201825,98
201826,108
201827,83
201828,95
201829,78
201830,93
201831,84
201832,76
201833,76
201834,100
