INTERVAL,VALUE
201621,320
201622,121
201623,24
201624,16
201625,40
201626,54
201627,8
201628,20
201629,18
201630,25
201631,7
201632,18
201633,4
201634,2
201635,42
201636,146
201637,9
201638,44
201639,27
201640,4
201641,4
201642,0
201643,0
201644,0
201645,26
201646,0
201647,5
201648,11
201649,0
201650,0
201651,0
201652,8
201701,0
201702,0
201703,0
201704,0
201705,0
201706,0
201707,0
201708,53
201709,768
201710,78
201711,57
201712,23
201713,133
201714,31
201715,27
201716,58
201717,25
201718,35
201719,56
201720,61
201721,57
201722,52
201723,18
201724,52
201725,71
201726,207
201727,10
201728,26
201729,16
201730,77
201731,25
201732,27
201733,35
201734,59
201735,100
201736,40
201737,37
201738,17
201739,106
201740,16
201741,50
201742,39
201743,42
201744,124
201745,84
201746,18
201747,30
201748,149
201749,7
201750,74
201751,6
201752,227
201801,16
201802,72
201803,57
201804,32
201805,121
201806,57
201807,0
201808,14
201809,100
201810,62
201811,147
201812,130
201813,211
201814,55
201815,50
201816,20
201817,244
201818,131
201819,2
201820,69
201821,60
201822,208
201823,7
201824,151
201825,58
201826,95
201827,64
201828,46
201829,58
201830,205
201831,74
201832,44
201833,57
201834,87
